;cluster;Latitude;Longitude
1059;6;47.986;7.898
1060;21;52.036;8.614
1061;-1;51.994;5.692
1062;17;50.86;4.286
1063;4;47.466;9.534
1064;-1;48.884;8.696
1065;-1;42.663;23.273
1066;12;52.13;5.648
1067;41;43.144;24.684
1068;-1;42.02;23.094
1069;17;50.812;4.422
1070;18;51.042;3.472
1071;18;50.852;3.816
1072;-1;42.644;23.264
1073;17;50.786;4.332
1074;24;48.184;11.504
1075;18;51.106;3.684
1076;17;50.846;4.406
1077;18;51.194;3.8
1078;17;50.884;4.322
1079;19;52.982;6.662
1080;27;50.92;11.612
1081;38;44.478;20.302
1082;44;53.398;-1.496
1083;-1;51.334;3.244
1084;28;51.058;13.712
1085;0;48.812;9.116
1086;27;50.918;12.74
1087;24;48.28;11.678
1088;0;48.75;9.078
1089;29;52.562;13.418
1090;-1;51.25;6.778
1091;-1;50.938;3.896
1092;43;51.45;-0.24
1093;31;47.064;15.444
1094;-1;51.178;4.852
1095;21;51.999;8.594
1096;29;53.408;13.918
1097;-1;44.792;10.358
1098;30;45.46;9.24
1099;17;50.866;4.314
1100;-1;51.186;4.448
1101;17;50.828;4.388
1102;-1;50.652;6.172
1103;35;51.153;16.94
1104;-1;44.91;8.63
1105;-1;45.404;12.148
1106;-1;57.548;-2.024
1107;15;50.894;5.296
